section,title,description,priceText,priceCents,imageUrl,uuid
Chicken Tender Combo 鸡柳套餐,Crispy Tender (3Pc) 香酥鸡柳 (3Pc),,$9.99,999,https://tb-static.uber.com/prod/image-proc/processed_images/8c6495ee718fdb67df1bbfbb99d63c5d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,35212795-4b00-5d60-8f77-322563c65876
Chicken Tender Combo 鸡柳套餐,Crispy Tender (5Pc) 香酥鸡柳 (5Pc),,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/8c6495ee718fdb67df1bbfbb99d63c5d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,897627bb-f70f-5658-9608-f108d7ebc7a7
Chicken Tender Combo 鸡柳套餐,Crispy Tender (8Pc) 香酥鸡柳 (8Pc),,$24.99,2499,https://tb-static.uber.com/prod/image-proc/processed_images/8c6495ee718fdb67df1bbfbb99d63c5d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,c136e8c9-7ce8-5f09-96c1-6cc985a16462
Chicken Tender Combo 鸡柳套餐,Crispy Tender (12Pc) 香酥鸡柳 (12Pc),,$34.99,3499,https://tb-static.uber.com/prod/image-proc/processed_images/8c6495ee718fdb67df1bbfbb99d63c5d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,8a514de4-ed7c-51d7-81f4-0896013f98eb
Snack 风味小食,Seasoned Fries 调味薯条,,$5.99,599,https://tb-static.uber.com/prod/image-proc/processed_images/d442160fce08abcc72900a53ccf18b35/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,02103d78-3757-540a-9173-3257bf588bf1
Snack 风味小食,Chicken Nuggets 8Pc 上校鸡块8Pc,,$6.99,699,https://tb-static.uber.com/prod/image-proc/processed_images/2e65b22e1a04d0c14fe846a971dc856d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,58da8bcc-0d37-583a-8e9b-c2f9039c31f1
Snack 风味小食,Chicken Nuggets 12Pc 上校鸡块12Pc,,$8.99,899,https://tb-static.uber.com/prod/image-proc/processed_images/2e65b22e1a04d0c14fe846a971dc856d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,e1229bb0-3385-5e6e-8c0e-4de216e225c4
Snack 风味小食,Chicken Nuggets 20Pc 上校鸡块20Pc,,$12.99,1299,https://tb-static.uber.com/prod/image-proc/processed_images/2e65b22e1a04d0c14fe846a971dc856d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,64461a0a-8f86-596a-a43e-52caebe6632d
Snack 风味小食,Popcorn Chicken 劲爆鸡米花,,$6.99,699,https://tb-static.uber.com/prod/image-proc/processed_images/86c4b1424cc16a8dbe3af0ed46fe3ed7/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ae6adfea-d914-528c-93a3-0ea8b11cc41f
Snack 风味小食,Golden Butterfly Shrimp 5Pc 黄金蝴蝶虾5个,,$6.99,699,https://tb-static.uber.com/prod/image-proc/processed_images/05b5b84d4e90d2b828837bfd3f587bac/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,81552e36-b698-5ef5-a90c-cdc3a612b3e1
Snack 风味小食,Corn Cup 超级玉米杯,,$4.99,499,https://tb-static.uber.com/prod/image-proc/processed_images/9262e38e741242ac3421ebc90bcd94c8/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,0a02eef9-f3c9-50e0-a58d-96f51ba7e5fc
Snack 风味小食,Mash Potato 土豆泥,,$4.99,499,https://tb-static.uber.com/prod/image-proc/processed_images/e8122806e22830ab64f4c283a071675e/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,3f6c8832-4045-5e0d-aeb3-54abbc0d7a82
Snack 风味小食,Onion Ring 15Pcs 洋葱圈 15Pcs,15 pcs,$6.99,699,https://tb-static.uber.com/prod/image-proc/processed_images/a2270381ba3dcef32b24b332155796e3/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,dc1c0c45-8e5c-506f-9c51-5317c58e583d
Snack 风味小食,Coleslaw 凉拌卷心菜,,$4.99,499,https://tb-static.uber.com/prod/image-proc/processed_images/5726a1ebb270cd7bc1cb7ad937b31dd2/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,0a1776a6-094f-5ded-a154-63a8b7d2bba6
Snack 风味小食,Mac&Cheese 芝士通心粉,,$4.99,499,https://tb-static.uber.com/prod/image-proc/processed_images/ece40b12da5b0c71ee68a36db0522752/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ea75c681-6288-5cfc-b9a1-6820987b829e
Snack 风味小食,Falafel 5Pc 炸豆丸子 5Pc,,$5.99,599,https://tb-static.uber.com/prod/image-proc/processed_images/874543c5d4b1b107f01485f34b7ac1e9/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,4f51fab4-6559-5abb-886a-1be744207c13
